variant,count,ratio,cum_ratio
"('A_Cancelled', 'O_Cancelled')",139,0.1112,0.1112
"('A_Create Application', 'A_Submitted', 'A_Concept')",96,0.0768,0.188
"('A_Validating', 'O_Returned')",83,0.0664,0.2544
"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'A_Complete')",73,0.0584,0.3128
"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",67,0.0536,0.3664
"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",64,0.0512,0.4176
"('A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'A_Complete')",32,0.0256,0.44320000000000004
"('A_Cancelled', 'O_Cancelled', 'O_Cancelled')",24,0.0192,0.46240000000000003
"('A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete')",23,0.0184,0.4808
"('A_Validating', 'O_Returned', 'A_Incomplete')",19,0.0152,0.496
"('A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating')",17,0.0136,0.5095999999999999
"('O_Create Offer', 'O_Created', 'O_Sent (mail and online)')",16,0.0128,0.5224
"('A_Validating', 'O_Returned', 'A_Denied', 'O_Refused', 'W_Validate application')",16,0.0128,0.5352
"('A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",15,0.012,0.5472
"('A_Validating', 'O_Returned', 'A_Denied', 'O_Refused')",14,0.0112,0.5584
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",13,0.0104,0.5688
"('A_Denied', 'O_Refused', 'W_Validate application')",13,0.0104,0.5791999999999999
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'A_Concept')",13,0.0104,0.5895999999999999
"('A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",13,0.0104,0.5999999999999999
"('A_Validating', 'O_Accepted', 'A_Pending')",11,0.0088,0.6087999999999999
"('W_Validate application', 'A_Incomplete')",11,0.0088,0.6175999999999999
"('O_Accepted', 'A_Pending')",11,0.0088,0.6264
"('A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",11,0.0088,0.6352
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'A_Complete')",10,0.008,0.6432
"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",10,0.008,0.6512
"('A_Validating', 'O_Returned', 'A_Incomplete', 'W_Call incomplete files', 'A_Validating', 'O_Accepted', 'A_Pending')",9,0.0072,0.6584
"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned')",9,0.0072,0.6656
"('W_Validate application', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending', 'W_Validate application')",8,0.0064,0.6719999999999999
"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'A_Complete')",8,0.0064,0.6783999999999999
"('A_Cancelled', 'O_Cancelled', 'W_Call incomplete files')",8,0.0064,0.6847999999999999
